Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
Love Of My Life,Harry Styles,1,2022,5,20,1933,233671263,118,56,20,54,67,0,Pop
FLOWER,JISOO,1,2023,3,31,839,232896922,124,84,64,39,3,0,Electrónica/Dance
Mujeriego,Ryan Castro,1,2021,12,17,1492,231996128,80,76,92,62,6,0,Rock
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,231657891,121,64,80,88,0,0,Electrónica/Dance
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,231332117,93,84,96,79,43,0,Rock
Don't Start Now,Dua Lipa,1,2019,10,31,27119,2303033973,124,79,68,79,1,0,Electrónica/Dance
FEARLESS,LE SSERAFIM,1,2022,5,2,629,229497852,104,86,43,62,5,0,Pop
Starlight,Dave,1,2022,3,3,1856,229473310,124,95,36,37,35,0,Electrónica/Dance
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,2288695111,84,44,22,48,38,0,Rock
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,2280566092,79,78,58,45,47,0,Rock
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8,2499,227918678,82,70,31,34,60,1,Rock
Rush,Troye Sivan,1,2023,7,13,864,22581161,126,74,35,84,0,0,Electrónica/Dance
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,225259194,170,65,46,47,12,0,Hardcore
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,225093344,130,52,24,60,0,0,Electrónica/Dance
Photograph,Ed Sheeran,1,2014,6,20,18778,2236667932,108,61,20,38,61,0,Pop
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,223633238,124,78,70,68,3,1,Electrónica/Dance
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,223582566,95,77,72,87,17,0,Rock
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,223319934,84,56,61,76,10,0,Rock
Question...?,Taylor Swift,1,2022,10,21,1608,223064273,109,75,11,50,20,0,Pop
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,222410722,93,65,79,66,31,0,Rock
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,221752937,102,73,62,75,0,0,Pop
PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,221409663,113,79,66,74,8,0,Pop
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,2204080728,103,61,47,65,3,0,Pop
Mastermind,Taylor Swift,1,2022,10,21,1936,218320587,126,66,12,35,55,0,Electrónica/Dance
Cupido,Tini,1,2023,2,14,1240,217672943,120,91,63,58,52,0,Pop
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,2159346687,96,57,30,40,38,0,Rock
Take Me To Church,Hozier,1,2013,9,13,23804,2135158446,129,57,41,66,63,0,Electrónica/Dance
POP!,Nayeon,1,2022,6,24,571,213505179,97,80,36,86,4,0,Rock
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,213438580,140,58,17,62,18,0,Techno
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,212351890,118,63,60,70,5,0,Pop
Love Yourself,Justin Bieber,1,2015,11,9,22730,2123309722,100,61,53,38,84,0,Rock
MANIAC,Stray Kids,1,2022,3,18,651,212234990,120,58,71,80,15,0,Pop
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,212109195,130,91,91,96,3,0,Electrónica/Dance
Polaroid Love,ENHYPEN,1,2022,1,10,461,211372494,138,74,65,67,46,0,Techno
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,211050784,143,64,31,87,4,4,Trance
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,210038833,102,58,29,94,0,0,Pop
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,209768491,92,73,37,74,28,0,Rock
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,209106362,118,82,75,85,33,1,Pop
All of Me,John Legend,1,2013,8,1,27221,2086124197,120,42,33,26,92,0,Pop
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,208166039,135,78,55,57,4,0,Techno
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,207033255,130,69,36,90,1,10,Electrónica/Dance
When I R.I.P.,Labrinth,1,2019,10,4,2578,203680270,80,39,45,55,73,0,Rock
The Astronaut,Jin,1,2022,10,28,481,203436468,125,54,22,76,0,0,Electrónica/Dance
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,203221468,140,53,51,70,49,0,Techno
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,202677468,72,64,76,44,70,9,Rock
Static,Steve Lacy,1,2022,7,15,1613,202452860,79,34,22,31,43,63,Rock
Tattoo,Loreen,1,2023,2,25,2988,201660859,150,55,30,78,24,0,Trance
Counting Stars,OneRepublic,1,2013,1,1,29215,2011464183,122,66,48,71,6,0,Electrónica/Dance
Bar,"Tini, L-Gante",2,2021,11,11,755,200972675,94,52,68,69,13,0,Rock
Riptide,Vance Joy,1,1975,1,1,31123,2009094673,102,48,50,73,43,0,Pop
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,200647221,133,85,81,67,26,0,Techno
Grapejuice,Harry Styles,1,2022,5,20,1986,199587884,183,65,88,72,36,14,Hardcore
Limbo,Freddie Dredd,1,2022,8,11,688,199386237,75,80,46,62,3,6,Rock
Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,198365537,130,77,20,70,1,0,Electrónica/Dance
En Paris,"El Chachito, Junior H",2,2022,12,24,406,198275403,139,70,77,48,37,0,Techno
IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18,625,197643795,98,78,83,75,41,0,Rock
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,1970673297,124,53,66,78,0,0,Electrónica/Dance
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,195918494,151,73,88,67,20,0,Trance
Massive,Drake,1,2022,6,17,5263,195628667,125,51,5,68,12,2,Electrónica/Dance
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,195576623,107,78,39,53,30,0,Pop
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,195516622,88,49,24,66,19,0,Rock
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,1953533826,146,63,88,93,3,0,Trance
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,194902696,84,71,39,86,2,0,Rock
Nail Tech,Jack Harlow,1,2022,2,18,2939,193443895,150,65,11,58,0,0,Trance
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1929770265,150,91,42,60,0,0,Trance
La Bebe,Yng Lvcas,1,2021,12,24,489,191945597,170,78,75,46,62,0,Hardcore
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,191873381,135,77,74,74,47,0,Techno
Sticky,Drake,1,2022,6,17,2814,191448892,137,88,8,49,9,0,Techno
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,191333656,122,75,45,63,6,0,Electrónica/Dance
In My Head,Lil Tjay,1,2022,4,1,1185,190981339,143,68,41,55,16,0,Trance
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,190625045,100,82,76,70,16,0,Rock
Slut Me Out,NLE Choppa,1,2022,4,22,816,190490915,121,94,71,61,12,0,Electrónica/Dance
Talk that Talk,TWICE,1,2022,8,26,615,189476119,120,77,78,91,14,0,Pop
Cinema,Harry Styles,1,2022,5,20,2171,189236868,106,83,90,64,35,5,Pop
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,188933502,150,61,39,73,37,0,Trance
Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30,540,187772591,115,78,63,64,1,0,Pop
Daydreaming,Harry Styles,1,2022,5,20,1900,187703102,114,71,90,81,31,2,Pop
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,187701588,161,59,62,60,12,0,Hardcore
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,185550869,154,54,45,79,1,0,Trance
Cigarettes,Juice WRLD,1,2021,12,10,975,185408548,160,60,47,62,3,0,Trance
Prohibidox,Feid,1,2022,9,13,1473,185392587,180,65,52,80,5,0,Hardcore
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,185240616,96,72,40,47,71,0,Rock
GIVENCHY,Duki,1,2022,7,20,625,185236961,103,61,38,62,14,0,Pop
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,184937148,141,59,56,63,12,0,Trance
Flowers,Lauren Spencer Smith,1,2021,8,9,801,184826429,138,70,31,44,84,0,Techno
Good Looking,Suki Waterhouse,1,2017,10,20,2264,184706613,150,37,27,56,8,0,Trance
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,184622518,174,68,45,71,18,0,Hardcore
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,184308753,108,44,38,77,9,0,Pop
Demons,Imagine Dragons,1,2012,1,1,26694,1840364617,180,33,38,71,20,0,Hardcore
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,183706234,141,92,66,58,19,0,Trance
295,Sidhu Moose Wala,1,2021,5,15,246,183273246,90,68,54,76,21,0,Rock
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,1829992958,171,70,6,73,1,0,Hardcore
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,181831132,85,65,36,47,31,0,Rock
The Great War,Taylor Swift,1,2022,10,21,1274,181382590,96,57,55,74,22,0,Rock
Hrs and Hrs,Muni Long,1,2021,11,19,1800,181328253,140,51,66,53,60,0,Techno
Mr. Brightside,The Killers,1,2003,9,23,51979,1806617704,148,35,24,93,0,0,Trance
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,180577478,93,63,93,88,1,0,Rock
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,1802514301,103,70,92,83,1,0,Pop
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,179659294,130,51,18,44,76,0,Electrónica/Dance
No Role Modelz,J. Cole,1,2014,12,9,21164,1791000570,100,70,47,52,30,0,Rock
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,179061440,172,74,46,58,15,0,Hardcore
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,1788326445,85,55,42,53,17,0,Rock
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,178660459,175,51,94,34,73,0,Hardcore
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31,859,178512385,82,79,48,84,13,0,Rock
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,177740666,128,60,23,91,0,0,Electrónica/Dance
"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,177503916,158,48,55,84,43,0,Trance
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,177129919,90,63,75,75,17,0,Rock
TQM,Fuerza Regida,1,2023,5,19,584,176553476,125,79,96,85,27,0,Electrónica/Dance
Celestial,Ed Sheeran,1,2022,9,29,1639,176474912,123,57,50,85,5,0,Electrónica/Dance
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,1763363713,110,73,14,57,40,0,Pop
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17,870,176290831,135,93,77,45,25,0,Techno
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,176103902,130,95,83,57,54,0,Electrónica/Dance
Memories,Maroon 5,1,2019,9,20,9974,1759567999,91,77,60,32,84,0,Rock
Yellow,Chris Molitor,1,1999,1,1,31358,1755214421,173,43,28,66,0,0,Hardcore
WANDA,Quevedo,1,2023,1,20,888,175399345,176,72,96,63,25,0,Hardcore
Search & Rescue,Drake,1,2023,4,7,2066,175097833,142,82,54,44,6,0,Trance
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,174006928,87,87,52,52,31,0,Rock
Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,173702135,96,85,41,43,39,0,Rock
Like Crazy (English Version),Jimin,1,2023,3,24,373,173627354,120,62,32,76,0,0,Pop
Chemical,Post Malone,1,2023,4,14,2528,172825906,170,50,37,90,0,0,Hardcore
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,171788484,122,55,46,64,0,0,Electrónica/Dance
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23,12382,1714490998,122,86,97,80,36,0,Electrónica/Dance
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,170732845,130,72,18,46,7,0,Electrónica/Dance
Nxde,(G)I-DLE,1,2022,10,17,430,170709584,136,73,65,91,4,0,Techno
On BS,"Drake, 21 Savage",2,2022,11,4,1338,170413877,158,84,33,36,2,0,Trance
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,1695712020,171,55,10,85,7,0,Hardcore
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,1690192927,117,52,73,91,0,0,Pop
Without Me,Eminem,1,2002,1,1,21081,1687664027,112,92,67,66,0,0,Pop
Gatita,Bellakath,1,2022,10,3,1054,168684524,101,90,76,81,15,24,Pop
Sial,Mahalini,1,2023,1,23,134,166570053,120,56,20,43,89,0,Pop
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,165584767,116,90,96,73,62,0,Pop
Makeba,Jain,1,2015,6,22,6060,165484133,116,82,40,66,39,51,Pop
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,164856284,154,70,97,62,47,0,Trance
Die For You,The Weeknd,1,2016,11,24,2483,1647990401,134,59,51,52,9,0,Techno
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,1641426668,109,63,46,85,1,0,Pop
Blind,SZA,1,2022,12,9,1484,163284000,114,46,60,28,91,0,Pop
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,162887075,96,93,47,47,33,0,Rock
In The End,Linkin Park,1,2000,10,24,25065,1624165576,105,55,40,90,1,0,Pop
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,161460990,132,85,53,68,40,0,Techno
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,160845341,77,81,68,58,83,0,Rock
The Scientist,Coldplay,1,2002,8,5,30992,1608164312,146,56,21,44,73,0,Trance
Before You Go,Lewis Capaldi,1,2019,11,1,8327,1608045237,112,45,19,60,63,0,Pop
I'm Not The Only One,Sam Smith,1,2014,1,1,17492,1606986953,82,68,50,49,56,0,Rock
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,1605224506,116,80,92,80,4,0,Pop
Beautiful Girl,Luciano,1,2022,4,22,710,160035717,140,84,61,42,31,0,Techno
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,1593270737,117,82,73,45,54,0,Pop
Viva La Vida,Coldplay,1,2008,1,1,33898,1592909789,138,49,42,62,9,0,Techno
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,159240673,102,84,43,75,5,0,Pop
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,158950978,145,76,80,81,19,0,Trance
RUMBATï¿½,Daddy Yankee,1,2022,3,25,1264,157990698,95,69,90,91,6,0,Rock
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,1575467011,111,77,74,66,30,0,Pop
Antes de Perderte,Duki,1,2022,6,2,584,157136970,110,81,61,93,49,0,Pop
Fast Car,Luke Combs,1,2023,3,24,1446,157058870,98,71,67,60,19,0,Rock
United In Grief,Kendrick Lamar,1,2022,5,13,2575,156898322,87,52,32,83,24,0,Rock
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,156777415,140,58,26,38,91,0,Techno
Pope Is a Rockstar,SALES,1,2016,4,20,1966,156658366,90,73,31,45,85,24,Rock
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,156338624,133,70,86,81,25,0,Techno
Boy's a liar,PinkPantheress,1,2022,11,30,1225,156338624,133,66,74,84,25,0,Techno
Malas Decisiones,Kenia OS,1,2022,10,26,542,156214700,110,81,64,79,5,0,Pop
MORE,j-hope,1,2022,7,1,565,155795783,97,78,31,72,1,0,Rock
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,155653938,78,67,22,59,76,1,Rock
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1553497987,125,45,67,90,9,11,Electrónica/Dance
Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,154863153,131,91,23,55,1,0,Techno
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,154797871,120,72,54,71,26,0,Pop
Miss You,Southstar,1,1982,5,16,2020,154356956,145,66,24,58,17,0,Trance
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,154119539,135,89,89,86,16,0,Techno
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,153454328,154,59,63,89,18,0,Trance
AMARGURA,Karol G,1,2023,2,24,1133,153372011,107,92,55,70,18,0,Pop
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,153240879,104,80,24,65,2,0,Pop
Dua Lipa,Jack Harlow,1,2022,5,6,1992,150500965,158,83,41,65,0,10,Trance
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,148469433,142,61,92,91,0,0,Trance
Talk,YEAT,1,2022,9,2,920,148461629,140,70,26,76,8,0,Techno
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,1481349984,144,73,87,70,6,0,Trance
Take On Me,a-ha,1,1984,10,19,44927,1479115056,84,57,86,90,2,0,Rock
Overdrive,Post Malone,1,2023,7,14,410,14780425,140,56,48,73,0,0,Techno
Love Again,The Kid Laroi,1,2023,1,27,1283,147538971,107,66,47,40,72,0,Pop
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,147290338,182,57,80,59,8,0,Hardcore
Rolling in the Deep,Adele,1,2010,11,29,35684,1472799873,105,73,52,76,13,0,Pop
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,146409671,94,82,53,67,34,0,Rock
That's Hilarious,Charlie Puth,1,2022,4,8,686,146363130,108,71,55,44,74,0,Pop
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",3,2022,9,22,869,146223492,138,80,82,81,14,0,Techno
The Nights,Avicii,1,2014,1,1,17354,1456081449,126,53,66,85,2,0,Electrónica/Dance
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,145458418,108,67,55,67,60,0,Pop
Call Out My Name,The Weeknd,1,2018,3,29,11087,1449799467,134,45,17,60,21,0,Techno
Heaven,Niall Horan,1,2023,2,17,1553,144584800,92,57,68,76,7,0,Rock
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,144565150,143,83,69,44,15,0,Trance
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,1440757818,92,91,43,71,9,0,Rock
Adore You,Harry Styles,1,2019,12,6,13454,1439191367,99,68,57,77,2,0,Rock
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,143573775,166,57,84,94,11,0,Hardcore
LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,1435127549,176,75,43,65,15,0,Hardcore
212,"Mainstreet, Chefin",2,2022,1,15,352,143139338,154,79,86,52,66,0,Trance
The Real Slim Shady,Eminem,1,2000,1,1,20763,1424589568,104,95,78,66,3,0,Pop
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,142095275,192,50,85,52,11,0,Hardcore
Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,141720999,104,73,25,61,1,0,Pop
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,141381703,125,80,89,83,31,0,Electrónica/Dance
The Night We Met,Lord Huron,1,2015,2,2,18515,1410088830,174,45,10,37,97,25,Hardcore
Easy On Me,Adele,1,2021,10,14,10195,1406111294,142,60,13,37,58,0,Trance
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,140187018,116,77,65,80,6,0,Pop
vampire,Olivia Rodrigo,1,2023,6,30,1397,140003974,138,51,32,53,17,0,Techno
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,139836056,94,59,44,56,80,0,Rock
Cupid,Fifty Fifty,1,2023,2,24,526,139681964,120,77,94,66,65,0,Pop
Fim de Semana no Rio,teto,1,2022,3,30,315,139193812,119,87,28,50,12,0,Pop
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,138517666,154,63,75,92,31,0,Trance
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,138334433,92,83,56,82,10,0,Rock
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,1374581173,150,65,51,55,73,0,Trance
Komang,Raim Laode,1,2022,8,16,158,137123880,134,70,35,41,41,0,Techno
ZOOM,Jessi,1,2022,4,13,608,136996305,100,87,46,60,1,0,Rock
Beggin,Mï¿½ï¿½ne,1,2017,12,8,8559,1367810478,134,71,59,80,13,0,Techno
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,136689549,100,70,92,59,3,0,Rock
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,136676504,120,88,15,56,1,0,Pop
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,1365184,105,82,62,74,10,0,Pop
Numb,Linkin Park,1,2003,3,24,20111,1361425037,110,50,24,86,0,0,Pop
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,1356565093,128,62,55,78,1,3,Electrónica/Dance
Wild Flower (with youjeen),RM,1,2022,12,2,353,135611421,155,49,42,77,3,0,Trance
Blank Space,Taylor Swift,1,2014,1,1,11434,1355959075,96,75,57,68,9,0,Rock
O.O,NMIXX,1,2022,2,22,290,135444283,200,39,28,77,4,0,Hardcore
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,135079152,123,52,44,60,40,0,Electrónica/Dance
Zona De Perigo,Leo Santana,1,2022,12,8,531,134294498,135,81,97,77,75,0,Techno
TRUSTFALL,P!nk,1,2023,1,27,2098,134255790,122,64,25,89,0,0,Electrónica/Dance
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,133895612,97,82,67,77,8,0,Rock
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,133753727,74,53,24,67,11,0,Rock
LALA,Myke Towers,1,2023,3,23,1474,133716286,92,71,61,74,7,0,Rock
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,132171975,144,47,7,50,32,0,Trance
die first,Nessa Barrett,1,2022,6,24,767,131746175,183,44,44,67,7,0,Hardcore
Take My Breath,The Weeknd,1,2021,8,6,2597,130655803,121,70,35,77,1,0,Electrónica/Dance
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,1304313953,176,61,24,62,60,0,Hardcore
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,130419412,140,44,41,92,0,0,Techno
Heather,Conan Gray,1,2020,3,20,6170,1301799902,92,47,25,43,62,0,Rock
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,129314708,130,71,78,40,46,0,Electrónica/Dance
Iris,The Goo Goo Dolls,1,1998,3,31,13101,1284942608,156,32,49,72,0,0,Trance
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,127567540,100,49,17,35,71,9,Rock
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,127408954,110,67,78,85,2,0,Pop
Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,127309180,153,55,50,78,19,0,Trance
Creep,Radiohead,1,1992,9,21,36724,1271293243,92,53,12,34,1,0,Rock
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,127027715,107,69,96,36,81,0,Pop
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,127026613,133,78,90,84,31,0,Techno
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,1267333350,92,70,81,63,4,0,Rock
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25,226,126443991,84,71,63,45,45,0,Rock
Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,1264310836,107,65,19,72,10,0,Pop
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,126191104,134,78,51,43,69,0,Techno
Yonaguni,Bad Bunny,1,2021,6,4,9644,1260594497,180,64,44,65,28,0,Hardcore
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,125917280,140,66,43,76,49,0,Techno
deja vu,Olivia Rodrigo,1,2021,4,1,7545,1256880657,181,44,22,60,61,0,Hardcore
LLYLM,ROSALï¿½,1,2023,1,27,1838,124988687,170,56,56,63,13,0,Hardcore
Miserable Man,David Kushner,1,2022,1,7,788,124407432,110,63,31,35,93,0,Pop
Mockingbird,Eminem,1,2004,1,1,12985,1241559043,84,62,24,67,21,0,Rock
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,1235005533,128,73,60,77,3,0,Electrónica/Dance
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,123473120,126,81,90,73,28,0,Electrónica/Dance
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,123216717,140,92,78,57,46,0,Techno
I AM,IVE,1,2023,4,10,366,123132751,122,68,38,88,1,0,Electrónica/Dance
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,123124076,144,75,35,48,84,0,Trance
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,1230675890,131,71,24,47,1,0,Techno
"Hey, Mickey!",Baby Tate,1,2016,9,27,482,122763672,135,92,73,51,55,0,Techno
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,1223481149,77,73,54,74,23,0,Rock
