Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
Golden,Harry Styles,1,2019,12,13,8429,807015863,140,45,25,84,21,0,Techno
Pink + White,Frank Ocean,1,2016,8,20,21574,806397070,160,54,54,55,67,0,Trance
Cruel Summer,Taylor Swift,1,2019,8,23,7858,800840817,170,55,58,72,11,0,Hardcore
RAPSTAR,Polo G,1,2021,4,9,4731,797402345,81,79,44,54,41,0,Rock
Levitating,Dua Lipa,1,2020,3,27,9833,797196073,103,69,90,88,5,0,Pop
Born Singer,BTS,1,2022,6,10,279,79095270,158,60,68,84,4,0,Trance
Style,Taylor Swift,1,2014,1,1,7830,786181836,95,60,48,79,0,0,Rock
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,78489819,140,81,6,84,5,23,Techno
favorite crime,Olivia Rodrigo,1,2021,5,21,3681,783706581,173,40,19,29,86,0,Hardcore
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,78300654,130,79,96,86,9,0,Electrónica/Dance
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,782369383,130,92,78,62,18,0,Electrónica/Dance
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,78139948,80,33,51,59,76,0,Rock
Bored,Billie Eilish,1,2017,3,30,4204,777765388,120,60,11,33,90,0,Pop
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,775542072,170,64,14,70,9,0,Hardcore
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,77377503,134,67,11,76,8,47,Techno
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,77337771,127,60,40,89,9,0,Electrónica/Dance
Primera Cita,Carin Leon,1,2022,4,20,266,77309611,158,54,50,40,61,0,Trance
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,77233241,117,77,69,58,39,0,Pop
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,76910644,110,76,26,70,1,0,Pop
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,76831876,138,57,71,82,19,0,Techno
Bite Me,ENHYPEN,1,2023,5,22,349,76767396,105,80,69,78,28,0,Pop
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,759208783,93,74,59,87,3,0,Rock
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,756907987,95,76,96,70,18,0,Rock
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7,918,75476209,180,63,45,64,34,0,Hardcore
golden hour,JVKE,1,2022,7,15,4511,751134527,94,51,14,59,65,18,Rock
Starry Eyes,The Weeknd,1,2022,1,7,1014,74601456,86,28,13,41,50,0,Rock
Late Night Talking,Harry Styles,1,2022,5,20,7461,743693613,115,71,90,73,30,0,Pop
SOS,SZA,1,2022,12,9,827,73981293,119,51,51,66,67,0,Pop
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,73513683,92,80,81,67,4,0,Rock
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,726434358,202,34,25,51,69,0,Hardcore
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,725980112,148,67,83,76,48,0,Trance
About Damn Time,Lizzo,1,2022,4,14,9021,723894473,109,84,72,74,10,0,Pop
About Damn Time,Lizzo,1,2022,7,15,2332,723894473,109,84,72,74,10,0,Pop
we fell in love in october,girl in red,1,2018,11,21,6858,723043854,130,57,24,37,11,18,Electrónica/Dance
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,721975598,122,78,50,63,27,0,Electrónica/Dance
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,720825549,102,89,77,82,3,0,Pop
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,720434240,101,88,72,59,62,0,Pop
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,716591492,94,84,90,70,9,0,Rock
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,71573339,108,84,55,47,26,0,Pop
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,71423324,98,76,79,81,18,0,Rock
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,71095708,114,62,25,44,51,33,Pop
The Rumbling (TV Size),SiM,1,2022,1,10,254,71014967,145,41,65,88,0,0,Trance
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,71007139,135,80,85,74,62,0,Techno
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,705469769,114,32,17,74,14,0,Pop
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,704171068,105,54,59,83,0,44,Pop
Bound 2,Kanye West,1,2013,1,1,19806,703301727,149,37,28,66,14,0,Trance
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,70106975,120,78,5,30,21,0,Pop
Lovezinho,Treyce,1,2022,7,28,242,70069745,128,82,61,59,30,0,Electrónica/Dance
After Hours,The Weeknd,1,2020,2,19,8084,698086140,109,66,16,57,10,1,Pop
First Class,Jack Harlow,1,2022,4,8,8737,694525298,107,91,32,56,3,0,Pop
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,68895644,108,65,52,69,31,0,Pop
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,686734357,101,66,18,68,9,0,Pop
Hits Different,Taylor Swift,1,2023,5,26,547,68616963,106,67,24,78,15,0,Pop
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,685032533,136,62,19,53,11,0,Techno
Reminder,The Weeknd,1,2016,11,25,6518,684675814,160,71,40,50,16,0,Trance
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,682475162,96,87,82,53,10,0,Rock
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,68216992,92,71,41,31,79,0,Rock
Romantic Homicide,d4vd,1,2022,7,20,2335,681583126,132,56,20,55,45,1,Techno
Cool for the Summer,Demi Lovato,1,2015,1,1,9243,677389855,114,59,30,62,1,0,Pop
F2F,SZA,1,2022,12,9,989,67540165,90,53,47,74,9,0,Rock
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,675039469,134,93,61,74,9,0,Techno
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,674772936,125,85,64,81,2,5,Electrónica/Dance
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,674072710,98,90,40,59,0,0,Rock
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,673801126,176,73,79,86,42,0,Hardcore
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,672656250,129,83,44,62,2,0,Electrónica/Dance
Neverita,Bad Bunny,1,2022,5,6,2590,671365962,122,88,43,50,7,0,Electrónica/Dance
VOID,Melanie Martinez,1,2023,3,29,596,67070410,100,72,42,66,18,4,Rock
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,66902503,128,78,59,65,10,0,Electrónica/Dance
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,665765558,164,70,71,58,24,0,Hardcore
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,8879,663832097,202,24,76,60,77,0,Hardcore
SloMo,Chanel,1,2021,12,24,1211,65719930,105,73,59,81,13,0,Pop
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,656013912,118,75,46,76,3,0,Pop
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,655466831,130,80,64,76,2,0,Electrónica/Dance
S-Class,Stray Kids,1,2023,6,2,290,65496046,105,89,67,78,9,0,Pop
Gone Girl,SZA,1,2022,12,9,892,65362788,150,43,42,44,57,0,Trance
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,652704649,131,77,84,71,35,0,Techno
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,651732901,120,72,67,72,0,0,Pop
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,64787943,117,92,62,86,11,0,Pop
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,64714573,140,89,75,70,6,0,Techno
After Dark,Mr.Kitty,1,2014,8,8,1776,646886885,140,58,4,60,7,41,Techno
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,64533040,100,56,53,55,53,0,Rock
Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,63803529,122,77,25,62,34,0,Electrónica/Dance
Here With Me,d4vd,1,2022,7,17,3246,635412045,132,58,27,48,50,0,Techno
Mistletoe,Justin Bieber,1,2011,1,1,9577,629173063,162,67,88,54,51,0,Hardcore
2055,Sleepy hallow,1,2021,4,14,2226,624515457,161,78,65,52,46,0,Hardcore
Sparks,Coldplay,1,2000,7,10,10826,624101957,103,37,17,27,75,5,Pop
Enchanted,Taylor Swift,1,2010,1,1,4564,621660989,164,45,24,62,8,0,Hardcore
Notice Me,SZA,1,2022,12,9,819,62019074,160,72,78,68,28,0,Trance
TQG,"Karol G, Shakira",2,2023,2,23,4284,618990393,180,72,61,63,67,0,Hardcore
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,61739839,72,56,56,47,76,0,Rock
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,614555082,97,83,47,80,2,0,Rock
